,end_time,event_date,goes_class,goes_location,noaa_active_region,peak_time,start_time,flux
104,2015-11-23 02:54:00,2015-11-23,C8.7,"(53, 12)",12454,2015-11-23 02:28:00,2015-11-23 01:09:00,8.7e-06 W / m2
105,2015-11-23 12:42:00,2015-11-23,C1.3,"(0, 0)",0,2015-11-23 12:13:00,2015-11-23 12:03:00,1.3e-06 W / m2
106,2015-11-23 12:37:00,2015-11-23,C1.3,"(0, 0)",0,2015-11-23 12:12:00,2015-11-23 12:04:00,1.3e-06 W / m2
107,2015-11-23 17:36:00,2015-11-23,B8.8,"(0, 0)",0,2015-11-23 17:21:00,2015-11-23 17:07:00,8.8e-07 W / m2
108,2015-11-23 18:31:00,2015-11-23,B8.2,"(0, 0)",12454,2015-11-23 18:20:00,2015-11-23 18:08:00,8.2e-07 W / m2
109,2015-11-25 08:46:00,2015-11-25,C1.9,"(0, 0)",0,2015-11-25 08:27:00,2015-11-25 07:28:00,1.9e-06 W / m2
110,2015-11-25 10:50:00,2015-11-25,B7.9,"(0, 0)",0,2015-11-25 10:43:00,2015-11-25 10:28:00,7.9e-07 W / m2
111,2015-11-25 22:39:00,2015-11-25,B5.6,"(0, 0)",0,2015-11-25 22:20:00,2015-11-25 22:09:00,5.6e-07 W / m2
112,2015-11-26 22:18:00,2015-11-26,B9.0,"(0, 0)",0,2015-11-26 21:41:00,2015-11-26 21:19:00,9e-07 W / m2
113,2015-11-27 13:48:00,2015-11-27,B4.2,"(0, 0)",12459,2015-11-27 13:42:00,2015-11-27 13:35:00,4.2e-07 W / m2
114,2015-11-28 12:15:00,2015-11-28,B6.0,"(0, 0)",12457,2015-11-28 11:34:00,2015-11-28 10:32:00,6e-07 W / m2
115,2015-11-29 06:17:00,2015-11-29,B5.9,"(9, 9)",12458,2015-11-29 06:10:00,2015-11-29 06:04:00,5.9e-07 W / m2
116,2015-11-29 07:52:00,2015-11-29,B6.3,"(-19, 5)",12459,2015-11-29 07:37:00,2015-11-29 06:55:00,6.3e-07 W / m2
117,2015-11-30 09:02:00,2015-11-30,B8.7,"(23, 9)",12458,2015-11-30 08:50:00,2015-11-30 08:37:00,8.7e-07 W / m2
118,2015-11-30 17:22:00,2015-11-30,C1.0,"(33, 12)",12458,2015-11-30 17:06:00,2015-11-30 16:52:00,1e-06 W / m2
119,2015-11-30 22:19:00,2015-11-30,B7.5,"(32, 9)",12458,2015-11-30 21:50:00,2015-11-30 21:14:00,7.5e-07 W / m2
